['%OpenBCI Raw EEG Data']
['%']
['%Sample Rate = 250.0 Hz']
['%First Column = SampleIndex']
['%Last Column = Timestamp ']
['%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data']
182, 187500.00, 42430.52, 36386.87, 42320.48, 25769.35, 31271.45, -21463.42, 17322.58, 0.000, 0.000, 0.000, 19:25:50.644
183, 187500.00, 41927.13, 35282.61, 40739.14, 24908.74, 30137.39, -22507.36, 15005.55, 0.000, 0.000, 0.000, 19:25:50.644
184, 187500.00, 41108.01, 35587.42, 39696.45, 24965.20, 29493.26, -21578.20, 5171.34, 0.000, 0.000, 0.000, 19:25:50.644
185, 187500.00, 40423.40, 36069.41, 39696.77, 26476.82, 30440.97, -20225.15, -9454.94, 0.000, 0.000, 0.000, 19:25:50.644
186, 187500.00, 40736.95, 36249.97, 40764.35, 29254.54, 32595.37, -18474.12, -13573.25, 0.000, 0.000, 0.000, 19:25:50.644
187, 187500.00, 40969.34, 36289.71, 40910.20, 31192.60, 32989.68, -18239.92, -11527.58, 0.042, -0.002, 0.966, 19:25:50.644
188, 187500.00, 40338.44, 36115.97, 39262.29, 32168.81, 22679.67, -19864.55, -7904.18, 0.000, 0.000, 0.000, 19:25:50.644
189, 187500.00, 38966.00, 35048.05, 38028.32, 32509.70, 7597.07, -21881.15, -7660.70, 0.000, 0.000, 0.000, 19:25:50.645
190, 187500.00, 38162.45, 33833.59, 37995.86, 32209.02, 1975.22, -21932.74, -12692.66, 0.000, 0.000, 0.000, 19:25:50.645
191, 187500.00, 37958.04, 33379.82, 39198.90, 33158.57, 1786.87, -19125.85, -19913.44, 0.000, 0.000, 0.000, 19:25:50.645
192, 187500.00, 37897.63, 33315.18, 40621.75, 34429.44, 5570.37, -16417.40, -28623.89, 0.000, 0.000, 0.000, 19:25:50.645
193, 187500.00, 38104.76, 33517.49, 41863.54, 35568.96, 10469.11, -14435.52, -33735.51, 0.000, 0.000, 0.000, 19:25:50.645
194, 187500.00, 38345.85, 33768.68, 42303.36, 36685.65, 15048.27, -12722.88, -35842.41, 0.000, 0.000, 0.000, 19:25:50.645
195, 187500.00, 38900.19, 34331.81, 42675.60, 38514.89, 20070.46, -11410.36, -35851.73, 0.000, 0.000, 0.000, 19:25:50.645
196, 187500.00, 39583.20, 35026.05, 43226.33, 40988.11, 24263.02, -10274.14, -33356.00, 0.000, 0.000, 0.000, 19:25:50.645
197, 187500.00, 40119.79, 35244.07, 43760.60, 42804.46, 26592.32, -8937.19, -29598.89, 0.040, 0.014, 0.970, 19:25:50.645
198, 187500.00, 40528.94, 34897.75, 44275.36, 43641.98, 27467.79, -7827.27, -25124.14, 0.000, 0.000, 0.000, 19:25:50.646
199, 187500.00, 40619.11, 34262.96, 45021.26, 42961.79, 27565.24, -7260.34, -20861.69, 0.000, 0.000, 0.000, 19:25:50.646
200, 187500.00, 40531.47, 33634.79, 45562.69, 40495.77, 27073.91, -6958.97, -17863.47, 0.000, 0.000, 0.000, 19:25:50.646
201, 187500.00, 40440.59, 33300.88, 45707.77, 39058.84, 26134.40, -6415.38, -16097.90, 0.000, 0.000, 0.000, 19:25:50.646
